STARTING_STATS
Profession,Name ,Age ,Beard_Length ,Beer ,Sex ,Status ,Vital 
DWARF,Fargrim,13.0,2.0,494,MALE,SOBER,ALIVE
DWARF,Grilrigg,41.0,6.0,372,FEMALE,SOBER,ALIVE
DWARF,Thorin,6.0,1.0,185,MALE,SOBER,ALIVE
DWARF,Kili,6.0,7.0,324,MALE,SOBER,ALIVE
DWARF,Bardin,3.0,13.0,186,MALE,SOBER,ALIVE
DWARF,Kardan,47.0,17.0,197,FEMALE,SOBER,ALIVE
DWARF,Rafgrim,6.0,9.0,54,MALE,SOBER,ALIVE
DWARF,Oin,11.0,15.0,38,MALE,SOBER,ALIVE
DWARF,Baldin,36.0,5.0,285,MALE,SOBER,ALIVE
DWARF,Gimli,32.0,13.0,183,MALE,SOBER,ALIVE
DWARF,Baldin,6.0,0.0,286,MALE,SOBER,ALIVE
DWARF,Gimkum,4.0,15.0,478,FEMALE,SOBER,ALIVE
DWARF,Hargurn,43.0,8.0,66,FEMALE,SOBER,ALIVE
DWARF,Daerkom,17.0,4.0,226,FEMALE,SOBER,ALIVE
ELDER,Rafgrim,304.0,68.0,7400,MALE,SOBER,ALIVE
ELDER,Lutraelin,344.0,69.0,7505,FEMALE,SOBER,ALIVE
ELDER,Gimli,277.0,31.0,7302,MALE,SOBER,ALIVE
ELDER,Grilrigg,337.0,55.0,7042,FEMALE,SOBER,ALIVE
ELDER,Kardan,305.0,33.0,7645,FEMALE,SOBER,ALIVE
ELDER,Daerkom,339.0,32.0,7180,FEMALE,SOBER,ALIVE
ELDER,Charbek,326.0,59.0,7915,MALE,SOBER,ALIVE
ELDER,Gimli,302.0,43.0,7535,MALE,SOBER,ALIVE
ELDER,Fargrim,254.0,87.0,7269,MALE,SOBER,ALIVE
ELDER,Gemnera,262.0,87.0,7043,FEMALE,SOBER,ALIVE
ELDER,Okri,262.0,88.0,7015,MALE,SOBER,ALIVE
MINER,Kardan,85.0,20.0,3400,FEMALE,SOBER,ALIVE
MINER,Gemnera,70.0,21.0,2181,FEMALE,SOBER,ALIVE
MINER,Okri,76.0,27.0,2214,MALE,SOBER,ALIVE
MINER,Oin,174.0,37.0,3165,MALE,SOBER,ALIVE
MINER,Okri,83.0,21.0,1178,MALE,SOBER,ALIVE
MINER,Tyshnys,182.0,21.0,2523,FEMALE,SOBER,ALIVE
MINER,Tyshnys,235.0,20.0,4109,FEMALE,SOBER,ALIVE
MINER,Tyshnys,177.0,44.0,1058,FEMALE,SOBER,ALIVE
MINER,Dwosteada,114.0,36.0,2120,FEMALE,SOBER,ALIVE
MINER,Kili,117.0,42.0,4487,MALE,SOBER,ALIVE
MINER,Thorin,169.0,24.0,2188,MALE,SOBER,ALIVE
MINER,Rafgrim,212.0,35.0,808,MALE,SOBER,ALIVE
